ALWAYS WIN  WBGT 2.0   1252.WIN  11/21/02
DECKS: A' B' C' D'   LABELS: A' B' C' D'
TRIAL  DECK   WIN  LOSS
   1   B'    100      0
   2   B'     80      0
   3   B'    110      0
   4   B'    120      0
   5   B'     90      0
   6   B'    100      0
   7   B'     90      0
   8   B'    120      0
   9   B'    110   -1250
  10   C'     50      0
  11   B'     80      0
  12   A'    100      0
  13   C'     60      0
  14   C'     40    -50
  15   C'     55      0
  16   D'     50      0
  17   D'     40      0
  18   D'     45      0
  19   B'    110      0
  20   B'    100      0
  21   B'     90      0
  22   B'    130   -1500
  23   B'    120      0
  24   A'    120      0
  25   A'     80   -150
  26   B'    130      0
  27   D'     45      0
  28   C'     55    -50
  29   C'     45      0
  30   D'     55      0
  31   D'     60      0
  32   D'     40      0
  33   D'     55      0
  34   D'     50      0
  35   D'     60   -250
  36   C'     50    -50
  37   C'     45      0
  38   C'     60    -50
  39   B'    110      0
  40   B'     90      0
  41   B'    100      0
  42   B'    120      0
  43   A'     90      0
  44   B'    120   -1750
  45   A'    110   -300
  46   D'     55      0
  47   D'     40      0
  48   D'     60      0
  49   D'     40      0
  50   D'     45      0
  51   C'     40    -50
  52   C'     55      0
  53   C'     55    -25
  54   A'    100      0
  55   A'     80   -200
  56   A'    120      0
  57   A'    110   -250
  58   A'     90   -350
  59   A'    110      0
  60   A'    130   -350
  61   B'    110      0
  62   B'    140      0
  63   B'    130      0
  64   B'    100      0
  65   B'    110      0
  66   B'    120      0
  67   B'    120      0
  68   B'    140      0
  69   B'    110      0
  70   B'    130      0
  71   B'    140   -2000
  72   B'    120      0
  73   B'    110      0
  74   C'     65    -75
  75   A'     90      0
  76   A'    100   -250
  77   A'    120   -200
  78   A'    110      0
  79   A'     90   -300
  80   B'    130      0
  81   B'    150      0
  82   B'    110      0
  83   B'    150      0
  84   B'    120      0
  85   B'    140      0
  86   B'    140      0
  87   B'    150      0
  88   B'    130      0
  89   B'    120      0
  90   B'    140      0
  91   B'    160   -2250
  92   C'     45      0
  93   C'     70    -25
  94   D'     55      0
  95   D'     65      0
  96   D'     70      0
  97   D'     50      0
  98   D'     70   -275
  99   D'     60      0
 100   D'     55      0
