Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
68010	1	1	Exptl	200	2200	A	589	2.59	4.63	0.00
68010	1	2	Exptl	190	2390	A	659	12.66	14.69	10.00
68010	1	3	Exptl	-250	2140	A	1000	25.00	27.03	22.00
68010	1	4	Exptl	190	2330	B	424	36.43	38.47	34.00
68010	1	5	Exptl	-240	2090	B	1056	48.06	50.09	45.00
68010	1	6	Exptl	90	2180	C	443	58.44	60.48	56.00
68010	1	7	Exptl	-40	2140	C	831	69.83	71.87	67.00
68010	1	8	Exptl	100	2240	D	1066	80.07	82.09	77.00
68010	1	9	Exptl	100	2340	C	606	89.61	91.65	87.00
68010	1	10	Exptl	90	2430	D	720	99.72	101.76	97.00
68010	1	11	Exptl	210	2640	A	669	110.67	112.71	108.00
68010	1	12	Exptl	-40	2600	C	639	122.64	124.68	120.00
68010	1	13	Exptl	-50	2550	D	1056	135.06	137.09	132.00
68010	1	14	Exptl	200	2750	B	723	145.72	147.75	143.00
68010	1	15	Exptl	-240	2510	A	657	156.66	158.70	154.00
68010	1	16	Exptl	-260	2250	A	948	168.95	170.99	166.00
68010	1	17	Exptl	110	2360	C	1383	179.38	181.42	176.00
68010	1	18	Exptl	90	2450	C	575	189.58	191.61	187.00
68010	1	19	Exptl	110	2560	D	1058	200.06	202.09	197.00
68010	1	20	Exptl	-40	2520	D	778	211.78	213.81	209.00
68010	1	21	Exptl	90	2610	D	671	221.67	223.70	219.00
68010	1	22	Exptl	-60	2550	D	794	232.80	234.84	230.00
68010	1	23	Exptl	-40	2510	D	489	244.49	246.52	242.00
68010	1	24	Exptl	-60	2450	C	510	254.51	256.55	252.00
68010	1	25	Exptl	-260	2190	B	433	264.43	266.47	262.00
68010	1	26	Exptl	190	2380	A	587	275.59	277.62	273.00
68010	1	27	Exptl	110	2490	C	554	287.56	289.59	285.00
68010	1	28	Exptl	110	2600	D	703	297.70	299.74	295.00
68010	1	29	Exptl	-60	2540	C	1326	310.33	312.37	307.00
68010	1	30	Exptl	-260	2280	A	480	320.48	322.51	318.00
68010	1	31	Exptl	-50	2230	C	602	330.60	332.63	328.00
68010	1	32	Exptl	100	2330	C	465	340.47	342.51	338.00
68010	1	33	Exptl	210	2540	A	462	350.46	352.50	348.00
68010	1	34	Exptl	-60	2480	D	604	362.61	364.64	360.00
68010	1	35	Exptl	110	2590	C	826	372.83	374.87	370.00
68010	1	36	Exptl	-40	2550	C	1224	384.23	386.27	381.00
68010	1	37	Exptl	90	2640	D	680	394.68	396.71	392.00
68010	1	38	Exptl	-240	2400	A	452	406.45	408.48	404.00
68010	1	39	Exptl	-240	2160	A	669	417.67	419.70	415.00
68010	1	40	Exptl	-60	2100	C	571	427.57	429.61	425.00
68010	1	41	Exptl	-40	2060	C	562	438.56	440.59	436.00
68010	1	42	Exptl	90	2150	C	354	449.36	451.39	447.00
68010	1	43	Exptl	110	2260	C	460	461.46	463.49	459.00
68010	1	44	Exptl	110	2370	D	580	473.58	475.62	471.00
68010	1	45	Exptl	-60	2310	D	600	483.60	485.64	481.00
68010	1	46	Exptl	-50	2260	C	773	495.77	497.80	493.00
68010	1	47	Exptl	90	2350	C	637	506.64	508.66	504.00
68010	1	48	Exptl	190	2540	A	494	518.50	520.54	516.00
68010	1	49	Exptl	-60	2480	C	403	528.40	530.44	526.00
68010	1	50	Exptl	100	2580	C	467	540.47	542.50	538.00
68010	1	51	Exptl	-60	2520	D	729	551.73	553.77	549.00
68010	1	52	Exptl	90	2610	D	653	563.65	565.69	561.00
68010	1	53	Exptl	110	2720	C	534	573.54	575.56	571.00
68010	1	54	Exptl	-40	2680	C	669	585.67	587.70	583.00
68010	1	55	Exptl	210	2890	B	695	595.70	597.73	593.00
68010	1	56	Exptl	-60	2830	C	464	606.47	608.49	604.00
68010	1	57	Exptl	90	2920	C	597	616.60	618.64	614.00
68010	1	58	Exptl	110	3030	D	683	628.68	630.73	626.00
68010	1	59	Exptl	-40	2990	D	771	639.77	641.81	637.00
68010	1	60	Exptl	-40	2950	C	466	650.47	652.51	648.00
68010	1	61	Exptl	-50	2900	C	389	662.39	664.43	660.00
68010	1	62	Exptl	-60	2840	C	372	672.37	674.40	670.00
68010	1	63	Exptl	100	2940	D	536	684.54	686.58	682.00
68010	1	64	Exptl	90	3030	C	418	696.42	698.45	694.00
68010	1	65	Exptl	-40	2990	D	706	707.71	709.73	705.00
68010	1	66	Exptl	210	3200	A	382	718.38	720.41	716.00
68010	1	67	Exptl	110	3310	C	912	729.91	731.95	727.00
68010	1	68	Exptl	-50	3260	D	1913	740.91	742.95	737.00
68010	1	69	Exptl	90	3350	C	738	749.74	751.76	747.00
68010	1	70	Exptl	-60	3290	D	622	759.62	761.66	757.00
68010	1	71	Exptl	210	3500	B	995	771.00	773.02	768.00
68010	1	72	Exptl	100	3600	C	501	782.50	784.54	780.00
68010	1	73	Exptl	90	3690	D	559	792.56	794.60	790.00
68010	1	74	Exptl	-40	3650	C	609	804.61	806.64	802.00
68010	1	75	Exptl	110	3760	D	658	814.66	816.70	812.00
68010	1	76	Exptl	-40	3720	C	889	825.89	827.92	823.00
68010	1	77	Exptl	-60	3660	D	599	835.60	837.64	833.00
68010	1	78	Exptl	-60	3600	C	610	847.61	849.65	845.00
68010	1	79	Exptl	90	3690	D	377	858.38	860.41	856.00
68010	1	80	Exptl	90	3780	C	702	869.70	871.74	867.00
68010	1	81	Exptl	110	3890	D	515	881.52	883.55	879.00
68010	1	82	Exptl	0	3890	None	.	894.00	896.00	889.00
68010	1	83	Exptl	-40	3850	D	459	903.46	905.50	901.00
68010	1	84	Exptl	100	3950	D	343	915.34	917.38	913.00
68010	1	85	Exptl	-40	3910	D	484	926.49	928.52	924.00
68010	1	86	Exptl	-50	3860	D	585	936.59	938.63	934.00
68010	1	87	Exptl	100	3960	D	491	947.49	949.52	945.00
68010	1	88	Exptl	110	4070	C	550	957.55	959.58	955.00
68010	1	89	Exptl	110	4180	C	519	968.52	970.55	966.00
68010	1	90	Exptl	90	4270	D	640	978.64	980.67	976.00
68010	1	91	Exptl	-50	4220	D	724	989.73	991.76	987.00
68010	1	92	Exptl	110	4330	D	996	1001.00	1003.02	998.00
68010	1	93	Exptl	-40	4290	D	621	1012.62	1014.66	1010.00
68010	1	94	Exptl	90	4380	D	585	1023.59	1025.63	1021.00
68010	1	95	Exptl	-60	4320	C	354	1035.36	1037.38	1033.00
68010	1	96	Exptl	-60	4260	D	627	1047.63	1049.66	1045.00
68010	1	97	Exptl	-260	4000	B	622	1057.62	1059.66	1055.00
68010	1	98	Exptl	-40	3960	D	479	1068.48	1070.51	1066.00
68010	1	99	Exptl	110	4070	D	421	1078.42	1080.45	1076.00
68010	1	100	Exptl	-50	4020	C	989	1090.99	1093.03	1088.00
