Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
102	1	1	Exptl	190	2190	B	1361	3.36	5.38	0.00
102	1	2	Exptl	-240	1950	B	542	12.54	14.56	10.00
102	1	3	Exptl	200	2150	B	1524	25.53	27.54	22.00
102	1	4	Exptl	90	2240	C	910	36.91	38.92	34.00
102	1	5	Exptl	100	2340	D	2283	49.28	51.30	45.00
102	1	6	Exptl	200	2540	A	834	58.84	60.85	56.00
102	1	7	Exptl	190	2730	A	1183	70.18	72.20	67.00
102	1	8	Exptl	-250	2480	A	1019	80.02	82.03	77.00
102	1	9	Exptl	-260	2220	B	963	89.96	91.98	87.00
102	1	10	Exptl	-40	2180	C	1490	100.49	102.50	97.00
102	1	11	Exptl	90	2270	D	1513	111.51	113.53	108.00
102	1	12	Exptl	-50	2220	D	722	122.72	124.74	120.00
102	1	13	Exptl	100	2320	C	608	134.61	136.62	132.00
102	1	14	Exptl	-40	2280	C	1031	146.03	148.05	143.00
102	1	15	Exptl	110	2390	D	984	156.99	159.00	154.00
102	1	16	Exptl	210	2600	A	1244	169.25	171.26	166.00
102	1	17	Exptl	-240	2360	A	503	178.50	180.52	176.00
102	1	18	Exptl	-40	2320	D	1635	190.64	192.65	187.00
102	1	19	Exptl	110	2430	C	701	199.70	201.72	197.00
102	1	20	Exptl	210	2640	B	980	211.98	213.99	209.00
102	1	21	Exptl	90	2730	C	854	221.86	223.87	219.00
102	1	22	Exptl	210	2940	B	768	232.77	234.78	230.00
102	1	23	Exptl	-60	2880	C	687	244.69	246.70	242.00
102	1	24	Exptl	-260	2620	B	928	254.93	256.94	252.00
102	1	25	Exptl	110	2730	C	1788	265.79	267.80	262.00
102	1	26	Exptl	-60	2670	C	1255	276.26	278.27	273.00
102	1	27	Exptl	90	2760	D	1096	288.10	290.11	285.00
102	1	28	Exptl	-60	2700	D	986	297.99	300.00	295.00
102	1	29	Exptl	-50	2650	C	1192	310.19	312.21	307.00
102	1	30	Exptl	-260	2390	A	894	320.90	322.91	318.00
102	1	31	Exptl	100	2490	C	741	330.74	332.76	328.00
102	1	32	Exptl	110	2600	C	710	340.71	342.72	338.00
102	1	33	Exptl	-40	2560	D	1073	351.07	353.09	348.00
102	1	34	Exptl	-40	2520	C	1570	363.57	365.58	360.00
102	1	35	Exptl	-60	2460	C	674	372.68	374.69	370.00
102	1	36	Exptl	190	2650	B	1736	384.74	386.75	381.00
102	1	37	Exptl	-40	2610	C	1986	395.99	398.00	392.00
102	1	38	Exptl	-250	2360	B	1185	407.19	409.20	404.00
102	1	39	Exptl	110	2470	D	1050	418.05	420.06	415.00
102	1	40	Exptl	-60	2410	D	672	427.67	429.69	425.00
102	1	41	Exptl	90	2500	C	554	438.56	440.57	436.00
102	1	42	Exptl	110	2610	C	1318	450.32	452.33	447.00
102	1	43	Exptl	90	2700	D	721	461.72	463.74	459.00
102	1	44	Exptl	-50	2650	C	1261	474.26	476.28	471.00
102	1	45	Exptl	110	2760	D	1109	484.11	486.12	481.00
102	1	46	Exptl	-60	2700	D	657	495.66	497.67	493.00
102	1	47	Exptl	90	2790	C	974	506.98	508.99	504.00
102	1	48	Exptl	-60	2730	C	1118	519.12	521.13	516.00
102	1	49	Exptl	-60	2670	D	1571	529.57	531.59	526.00
102	1	50	Exptl	100	2770	C	840	540.84	542.85	538.00
102	1	51	Exptl	110	2880	C	1226	552.23	554.24	549.00
102	1	52	Exptl	-40	2840	C	527	563.53	565.54	561.00
102	1	53	Exptl	90	2930	D	980	573.98	575.99	571.00
102	1	54	Exptl	-60	2870	C	741	585.74	587.76	583.00
102	1	55	Exptl	110	2980	D	423	595.42	597.44	593.00
102	1	56	Exptl	-40	2940	D	1445	607.45	609.46	604.00
102	1	57	Exptl	90	3030	C	1322	617.32	619.34	614.00
102	1	58	Exptl	-40	2990	C	1284	629.29	631.30	626.00
102	1	59	Exptl	100	3090	D	482	639.48	641.50	637.00
102	1	60	Exptl	190	3280	A	493	650.49	652.51	648.00
102	1	61	Exptl	-50	3230	C	517	662.52	664.53	660.00
102	1	62	Exptl	-40	3190	D	1173	673.17	675.19	670.00
