Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
660004	1	1	Exptl	200	2200	A	2977	4.98	7.01	0.00
660004	1	2	Exptl	100	2300	D	1024	13.02	15.05	10.00
660004	1	3	Exptl	190	2490	B	617	24.62	26.64	22.00
660004	1	4	Exptl	90	2580	C	1312	37.31	39.33	34.00
660004	1	5	Exptl	190	2770	A	772	47.77	49.79	45.00
660004	1	6	Exptl	-240	2530	B	970	58.97	61.00	56.00
660004	1	7	Exptl	90	2620	D	994	69.99	72.03	67.00
660004	1	8	Exptl	200	2820	B	631	79.63	81.67	77.00
660004	1	9	Exptl	-40	2780	C	440	89.44	91.47	87.00
660004	1	10	Exptl	-50	2730	D	675	99.68	101.70	97.00
660004	1	11	Exptl	100	2830	C	587	110.59	112.61	108.00
660004	1	12	Exptl	-260	2570	B	378	122.38	124.40	120.00
660004	1	13	Exptl	110	2680	D	376	134.38	136.41	132.00
660004	1	14	Exptl	-250	2430	A	628	145.63	147.66	143.00
660004	1	15	Exptl	-40	2390	C	724	156.72	158.76	154.00
660004	1	16	Exptl	-40	2350	D	412	168.41	170.45	166.00
660004	1	17	Exptl	110	2460	C	296	178.30	180.32	176.00
660004	1	18	Exptl	210	2670	A	567	189.57	191.60	187.00
660004	1	19	Exptl	210	2880	B	499	199.50	201.53	197.00
660004	1	20	Exptl	90	2970	D	304	211.30	213.33	209.00
660004	1	21	Exptl	90	3060	C	358	221.36	223.39	219.00
660004	1	22	Exptl	-60	3000	D	386	232.39	234.42	230.00
660004	1	23	Exptl	-40	2960	D	441	244.44	246.46	242.00
660004	1	24	Exptl	-60	2900	C	542	254.54	256.57	252.00
660004	1	25	Exptl	110	3010	C	276	264.28	266.31	262.00
660004	1	26	Exptl	210	3220	B	530	275.53	277.56	273.00
660004	1	27	Exptl	110	3330	D	438	287.44	289.47	285.00
660004	1	28	Exptl	-60	3270	C	289	297.29	299.32	295.00
660004	1	29	Exptl	-260	3010	B	543	309.54	311.57	307.00
660004	1	30	Exptl	-60	2950	D	515	320.52	322.55	318.00
660004	1	31	Exptl	-50	2900	C	273	330.27	332.30	328.00
660004	1	32	Exptl	-240	2660	A	311	340.31	342.34	338.00
660004	1	33	Exptl	-260	2400	A	427	350.43	352.45	348.00
660004	1	34	Exptl	100	2500	C	258	362.26	364.29	360.00
660004	1	35	Exptl	190	2690	A	287	372.29	374.32	370.00
660004	1	36	Exptl	90	2780	D	292	383.29	385.32	381.00
660004	1	37	Exptl	110	2890	C	263	394.26	396.30	392.00
