Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
68014	1	1	Exptl	200	2200	A	1079	3.08	5.11	0.00
68014	1	2	Exptl	190	2390	B	611	12.61	14.65	10.00
68014	1	3	Exptl	90	2480	C	301	24.30	26.33	22.00
68014	1	4	Exptl	100	2580	D	542	36.54	38.58	34.00
68014	1	5	Exptl	190	2770	A	441	47.44	49.47	45.00
68014	1	6	Exptl	-250	2520	A	691	58.69	60.72	56.00
68014	1	7	Exptl	-240	2280	B	476	69.48	71.51	67.00
68014	1	8	Exptl	90	2370	D	518	79.52	81.55	77.00
68014	1	9	Exptl	-40	2330	C	535	89.54	91.57	87.00
68014	1	10	Exptl	210	2540	A	617	99.62	101.65	97.00
68014	1	11	Exptl	100	2640	C	457	110.46	112.49	108.00
68014	1	12	Exptl	200	2840	B	521	122.52	124.55	120.00
68014	1	13	Exptl	-50	2790	D	545	134.55	136.57	132.00
68014	1	14	Exptl	-40	2750	C	551	145.55	147.59	143.00
68014	1	15	Exptl	-240	2510	A	485	156.49	158.52	154.00
68014	1	16	Exptl	110	2620	C	639	168.64	170.68	166.00
68014	1	17	Exptl	-260	2360	A	335	178.34	180.37	176.00
68014	1	18	Exptl	90	2450	C	653	189.65	191.69	187.00
68014	1	19	Exptl	-260	2190	B	701	199.70	201.74	197.00
68014	1	20	Exptl	-60	2130	C	611	211.61	213.65	209.00
68014	1	21	Exptl	190	2320	A	860	221.86	223.89	219.00
68014	1	22	Exptl	110	2430	D	664	232.67	234.71	230.00
68014	1	23	Exptl	210	2640	B	547	244.55	246.58	242.00
68014	1	24	Exptl	-40	2600	D	576	254.58	256.60	252.00
68014	1	25	Exptl	110	2710	C	368	264.37	266.41	262.00
68014	1	26	Exptl	210	2920	B	1101	276.10	278.13	273.00
68014	1	27	Exptl	-260	2660	A	666	287.67	289.70	285.00
68014	1	28	Exptl	-60	2600	C	593	297.59	299.63	295.00
68014	1	29	Exptl	90	2690	D	486	309.49	311.53	307.00
68014	1	30	Exptl	-260	2430	B	301	320.30	322.35	318.00
68014	1	31	Exptl	210	2640	A	468	330.47	332.50	328.00
68014	1	32	Exptl	-50	2590	C	675	340.68	342.71	338.00
68014	1	33	Exptl	190	2780	B	596	350.60	352.64	348.01
68014	1	34	Exptl	-60	2720	D	723	362.72	364.77	360.00
68014	1	35	Exptl	-240	2480	A	404	372.41	374.43	370.00
68014	1	36	Exptl	-250	2230	B	588	383.59	385.62	381.00
68014	1	37	Exptl	-240	1990	A	428	394.44	396.48	392.00
68014	1	38	Exptl	100	2090	C	856	406.87	408.91	404.00
68014	1	39	Exptl	110	2200	C	1090	418.09	420.13	415.00
68014	1	40	Exptl	-40	2160	C	400	427.41	429.44	425.00
68014	1	41	Exptl	-60	2100	C	578	438.58	440.61	436.00
