Sno	VisitNo	TrialNo	Cond	Change	Total	Picked	RT	TPick	TFixOnTStart
68008	1	1	Exptl	0	2000	None	.	5.00	7.00	0.00
68008	1	2	Exptl	90	2090	C	615	12.62	14.64	10.00
68008	1	3	Exptl	190	2280	B	956	24.96	26.99	22.00
68008	1	4	Exptl	200	2480	A	730	36.73	38.77	34.00
68008	1	5	Exptl	100	2580	D	872	47.87	49.91	45.00
68008	1	6	Exptl	190	2770	A	723	58.73	60.75	56.00
68008	1	7	Exptl	-250	2520	A	627	69.63	71.67	67.00
68008	1	8	Exptl	-240	2280	B	818	79.82	81.85	77.00
68008	1	9	Exptl	210	2490	A	1146	90.15	92.19	87.00
68008	1	10	Exptl	200	2690	B	970	99.97	102.01	97.00
68008	1	11	Exptl	-40	2650	C	906	110.91	112.94	108.00
68008	1	12	Exptl	-240	2410	A	1128	123.13	125.17	120.00
68008	1	13	Exptl	-260	2150	A	725	134.73	136.76	132.00
68008	1	14	Exptl	90	2240	D	881	145.88	147.92	143.00
68008	1	15	Exptl	190	2430	A	739	156.74	158.77	154.00
68008	1	16	Exptl	100	2530	C	1054	169.06	171.10	166.00
68008	1	17	Exptl	-50	2480	D	829	178.83	180.87	176.00
68008	1	18	Exptl	-260	2220	B	632	189.63	191.67	187.00
68008	1	19	Exptl	-260	1960	A	819	199.82	201.86	197.00
68008	1	20	Exptl	-40	1920	C	744	211.75	213.78	209.00
68008	1	21	Exptl	110	2030	D	954	221.96	223.99	219.00
68008	1	22	Exptl	110	2140	C	512	232.51	234.55	230.00
68008	1	23	Exptl	-40	2100	D	958	244.96	247.00	242.00
68008	1	24	Exptl	90	2190	C	1288	255.29	257.32	252.00
68008	1	25	Exptl	-60	2130	C	954	264.96	266.99	262.00
68008	1	26	Exptl	210	2340	A	705	275.71	277.74	273.00
68008	1	27	Exptl	90	2430	D	523	287.52	289.56	285.00
68008	1	28	Exptl	110	2540	C	782	297.78	299.82	295.00
68008	1	29	Exptl	210	2750	B	718	309.72	311.75	307.00
68008	1	30	Exptl	-240	2510	A	706	320.71	322.74	318.00
68008	1	31	Exptl	-60	2450	C	669	330.67	332.70	328.00
68008	1	32	Exptl	-60	2390	D	1009	341.01	343.05	338.00
68008	1	33	Exptl	210	2600	B	726	350.73	352.77	348.00
68008	1	34	Exptl	-50	2550	C	685	362.69	364.73	360.00
68008	1	35	Exptl	-240	2310	A	663	372.66	374.70	370.00
68008	1	36	Exptl	-260	2050	B	976	383.98	386.02	381.00
68008	1	37	Exptl	-40	2010	D	1063	395.06	397.10	392.00
68008	1	38	Exptl	190	2200	A	925	406.93	408.96	404.00
68008	1	39	Exptl	190	2390	B	660	417.66	419.70	415.00
68008	1	40	Exptl	100	2490	C	762	427.76	429.79	425.00
68008	1	41	Exptl	110	2600	D	852	438.85	440.89	436.00
68008	1	42	Exptl	210	2810	A	1231	450.23	452.26	447.00
68008	1	43	Exptl	-250	2560	B	701	461.70	463.73	459.00
68008	1	44	Exptl	110	2670	C	677	473.68	475.70	471.00
68008	1	45	Exptl	-60	2610	D	1226	484.23	486.27	481.00
68008	1	46	Exptl	-260	2350	A	706	495.71	497.73	493.00
68008	1	47	Exptl	90	2440	D	416	506.42	508.45	504.00
68008	1	48	Exptl	-40	2400	C	560	518.56	520.59	516.00
68008	1	49	Exptl	210	2610	A	723	528.72	530.77	526.00
68008	1	50	Exptl	-240	2370	B	455	540.46	542.49	538.00
68008	1	51	Exptl	-60	2310	C	607	551.61	553.64	549.00
68008	1	52	Exptl	110	2420	D	588	563.59	565.63	561.00
68008	1	53	Exptl	-40	2380	C	609	573.61	575.65	571.00
68008	1	54	Exptl	190	2570	A	678	585.68	587.71	583.00
68008	1	55	Exptl	200	2770	B	608	595.61	597.65	593.00
68008	1	56	Exptl	90	2860	C	734	606.74	608.76	604.00
68008	1	57	Exptl	-60	2800	D	750	616.75	618.79	614.00
68008	1	58	Exptl	110	2910	C	645	628.65	630.68	626.00
68008	1	59	Exptl	210	3120	B	474	639.48	641.51	637.00
68008	1	60	Exptl	-50	3070	C	669	650.67	652.71	648.00
68008	1	61	Exptl	-60	3010	D	668	662.67	664.70	660.00
68008	1	62	Exptl	200	3210	A	694	672.70	674.72	670.00
68008	1	63	Exptl	190	3400	B	678	684.68	686.71	682.00
68008	1	64	Exptl	90	3490	C	552	696.55	698.58	694.00
68008	1	65	Exptl	90	3580	D	867	707.87	709.90	705.00
68008	1	66	Exptl	-260	3320	A	641	718.64	720.68	716.00
68008	1	67	Exptl	110	3430	D	638	729.64	731.67	727.00
68008	1	68	Exptl	-60	3370	C	423	739.42	741.45	737.00
68008	1	69	Exptl	-260	3110	B	417	749.42	751.45	747.00
68008	1	70	Exptl	-240	2870	A	523	759.53	761.56	757.00
68008	1	71	Exptl	-250	2620	A	850	770.85	772.89	768.00
68008	1	72	Exptl	100	2720	C	687	782.69	784.73	780.00
68008	1	73	Exptl	-260	2460	B	454	792.46	794.48	790.00
68008	1	74	Exptl	110	2570	C	685	804.69	806.73	802.00
68008	1	75	Exptl	-240	2330	B	529	814.53	816.57	812.00
68008	1	76	Exptl	-40	2290	C	618	825.62	827.65	823.00
68008	1	77	Exptl	190	2480	A	720	835.72	837.76	833.00
68008	1	78	Exptl	210	2690	B	592	847.59	849.63	845.00
68008	1	79	Exptl	-60	2630	C	846	858.85	860.88	856.00
68008	1	80	Exptl	-240	2390	A	737	869.74	871.78	867.00
68008	1	81	Exptl	-40	2350	D	510	881.51	883.55	879.00
